,_id,stock_identity,trade_date,amount,change,close,high,low,open,pct_chg,pre_close,ts_code,vol
5812,5e92c5c8d1add8fec462ce39,000001.SSE,2014-09-19,144345453.358,13.523,2329.451,2331.561,2305.517,2312.984,0.5839,2315.928,000001.SH,174648487.0
5813,5e92c5c8d1add8fec462ce38,000001.SSE,2014-09-22,147841746.377,-39.585,2289.866,2323.554,2284.378,2323.554,-1.6993,2329.451,000001.SH,175842354.0
5814,5e92c5c8d1add8fec462ce37,000001.SSE,2014-09-23,135396857.174,19.852,2309.718,2311.525,2289.024,2289.091,0.867,2289.866,000001.SH,156855169.0
5815,5e92c5c8d1add8fec462ce36,000001.SSE,2014-09-24,185690667.976,33.857,2343.575,2345.747,2297.876,2302.231,1.4658,2309.718,000001.SH,222525725.0
5816,5e92c5c8d1add8fec462ce35,000001.SSE,2014-09-25,189260377.942,1.528,2345.103,2365.154,2336.805,2352.865,0.0652,2343.575,000001.SH,225688323.0
5817,5e92c5c8d1add8fec462ce34,000001.SSE,2014-09-26,148220808.326,2.615,2347.718,2350.109,2329.955,2339.288,0.1115,2345.103,000001.SH,174748285.0
5818,5e92c5c8d1add8fec462ce33,000001.SSE,2014-09-29,171130878.152,9.993,2357.711,2363.059,2346.579,2353.708,0.4256,2347.718,000001.SH,200111021.0
5819,5e92c5c8d1add8fec462ce32,000001.SSE,2014-09-30,166933430.197,6.159,2363.87,2365.491,2354.268,2361.318,0.2612,2357.711,000001.SH,193918690.0
5820,5e92c5c8d1add8fec462ce31,000001.SSE,2014-10-08,180337576.241,18.924,2382.794,2382.794,2354.29,2368.576,0.8006,2363.87,000001.SH,204397326.0
5821,5e92c5c8d1add8fec462ce30,000001.SSE,2014-10-09,200271758.742,6.577,2389.371,2391.348,2367.111,2383.859,0.276,2382.794,000001.SH,235920010.0
5822,5e92c5c8d1add8fec462ce2f,000001.SSE,2014-10-10,192248234.095,-14.831,2374.54,2386.277,2365.075,2380.755,-0.6207,2389.371,000001.SH,224671126.0
5823,5e92c5c8d1add8fec462ce2e,000001.SSE,2014-10-13,175425070.607,-8.531,2366.009,2366.862,2341.124,2366.426,-0.3593,2374.54,000001.SH,200899314.0
5824,5e92c5c8d1add8fec462ce2d,000001.SSE,2014-10-14,170160085.096,-6.534,2359.475,2380.515,2349.194,2362.802,-0.2762,2366.009,000001.SH,196831418.0
5825,5e92c5c8d1add8fec462ce2c,000001.SSE,2014-10-15,171766747.014,14.195,2373.67,2374.808,2344.373,2358.233,0.6016,2359.475,000001.SH,202804915.0
5826,5e92c5c8d1add8fec462ce2b,000001.SSE,2014-10-16,203805884.862,-17.171,2356.499,2389.675,2353.406,2361.13,-0.7234,2373.67,000001.SH,248201168.0
5827,5e92c5c8d1add8fec462ce2a,000001.SSE,2014-10-17,179433162.591,-15.315,2341.184,2360.597,2312.826,2352.784,-0.6499,2356.499,000001.SH,212300962.0
5828,5e92c5c8d1add8fec462ce29,000001.SSE,2014-10-20,141820259.831,15.544,2356.728,2357.509,2340.459,2346.052,0.6639,2341.184,000001.SH,160022305.0
5829,5e92c5c8d1add8fec462ce28,000001.SSE,2014-10-21,146786313.155,-17.071,2339.657,2361.653,2337.551,2355.033,-0.7244,2356.728,000001.SH,168828288.0
5830,5e92c5c8d1add8fec462ce27,000001.SSE,2014-10-22,138524537.529,-13.104,2326.553,2352.124,2324.59,2339.223,-0.5601,2339.657,000001.SH,152698425.0
5831,5e92c5c8d1add8fec462ce26,000001.SSE,2014-10-23,140596503.776,-24.135,2302.418,2329.927,2297.33,2322.316,-1.0374,2326.553,000001.SH,162636308.0
5832,5e92c5c8d1add8fec462ce25,000001.SSE,2014-10-24,114330696.149,-0.138,2302.28,2314.875,2296.657,2303.08,-0.006,2302.418,000001.SH,132225281.0
5833,5e92c5c8d1add8fec462ce24,000001.SSE,2014-10-27,113379981.592,-11.843,2290.437,2293.644,2279.836,2293.573,-0.5144,2302.28,000001.SH,130261568.0
5834,5e92c5c8d1add8fec462ce23,000001.SSE,2014-10-28,158147958.704,47.434,2337.871,2338.278,2294.012,2294.012,2.071,2290.437,000001.SH,178590357.0
