,stock_identity,name,enquiry_date,enquiry_topic,enquiry_title,exchange
16,600579.SSE,克劳斯,定期报告信息披露监管问询函,2020-05-11 19:40:01,关于克劳斯玛菲股份有限公司的定期报告信息披露监管问询函,SSE
17,600226.SSE,瀚叶股份,问询函,2020-05-11 19:10:01,关于浙江瀚叶股份有限公司的问询函,SSE
18,600867.SSE,通化东宝,定期报告信息披露监管问询函,2020-05-11 17:11:06,关于通化东宝药业股份有限公司2019年年度报告的信息披露监管问询函,SSE
19,600844.SSE,丹化科技,定期报告信息披露监管问询函,2020-05-11 17:11:06,关于丹化化工科技股份有限公司的定期报告信息披露监管问询函,SSE
20,600830.SSE,香溢融通,定期报告信息披露监管问询函,2020-05-11 17:11:06,关于香溢融通控股集团股份有限公司的定期报告信息披露监管问询函,SSE
21,603329.SSE,上海雅仕,定期报告信息披露监管问询函,2020-05-11 17:11:06,关于上海雅仕投资发展股份有限公司2019年年度报告的信息披露监管问询函,SSE
22,600687.SSE,*ST刚泰,问询函,2020-05-08 21:20:01,关于甘肃刚泰控股（集团）股份有限公司的问询函,SSE
23,600856.SSE,ST中天,问询函,2020-05-08 18:20:30,关于长春中天能源股份有限公司的问询函,SSE
24,600684.SSE,珠江实业,定期报告信息披露监管问询函,2020-05-08 17:20:01,关于广州珠江实业开发股份有限公司的定期报告信息披露监管问询函,SSE
25,603306.SSE,华懋科技,问询函,2020-05-07 23:00:01,关于对华懋(厦门)新材料科技股份有限公司控制权变更有关事项的问询函,SSE
26,603559.SSE,中通国脉,问询函,2020-05-07 22:40:02,关于中通国脉通信股份有限公司的问询函,SSE
27,600370.SSE,三房巷,定期报告信息披露监管问询函,2020-05-07 18:30:01,关于江苏三房巷实业股份有限公司的定期报告信息披露监管问询函,SSE
28,600594.SSE,益佰制药,问询函,2020-05-07 17:20:01,关于对贵州益佰制药股份有限公司有关募集资金永久补流事项的问询函,SSE
29,601369.SSE,陕鼓动力,定期报告信息披露监管问询函,2020-05-06 17:10:42,关于西安陕鼓动力股份有限公司的定期报告信息披露监管问询函,SSE
30,600172.SSE,黄河旋风,定期报告信息披露监管问询函,2020-05-06 17:10:42,关于河南黄河旋风股份有限公司2019年年度报告的信息披露监管问询函,SSE
31,603578.SSE,三星新材,定期报告信息披露监管问询函,2020-04-30 17:10:01,关于浙江三星新材股份有限公司的定期报告信息披露监管问询函,SSE
32,600634.SSE,*ST富控,问询函,2020-04-29 23:50:02,关于上海富控互动娱乐股份有限公司 的问询函,SSE
33,600978.SSE,宜华生活,问询函,2020-04-29 22:50:01,关于宜华生活科技股份有限公司的问询函,SSE
34,600804.SSE,鹏博士,问询函,2020-04-29 21:40:02,关于鹏博士电信传媒集团股份有限公司的问询函,SSE
35,600145.SSE,*ST新亿,问询函,2020-04-29 20:00:02,关于新疆亿路万源实业投资控股股份有限公司的问询函,SSE
36,600777.SSE,新潮能源,定期报告信息披露监管问询函,2020-04-28 22:30:02,关于山东新潮能源股份有限公司的2019年年度报告信息披露监管问询函,SSE
37,600145.SSE,*ST新亿,问询函,2020-04-28 21:40:02,关于新疆亿路万源实业投资控股股份有限公司的问询函,SSE
38,603699.SSE,纽威股份,问询函,2020-04-28 19:40:02,关于对苏州纽威阀门股份有限公司关联交易事项的问询函,SSE
39,600712.SSE,南宁百货,定期报告信息披露监管问询函,2020-04-28 18:00:01,关于南宁百货大楼股份有限公司的定期报告信息披露监管问询函,SSE
40,601218.SSE,吉鑫科技,定期报告信息披露监管问询函,2020-04-28 17:10:50,关于江苏吉鑫风能科技股份有限公司的定期报告信息披露监管问询函,SSE
41,603032.SSE,德新交运,重大资产重组预案审核意见函,2020-04-27 20:20:01,关于德力西新疆交通运输集团股份有限公司的重大资产重组预案信息披露的问询函,SSE
42,603203.SSE,快克股份,问询函,2020-04-27 17:10:01,关于对快克智能装备股份有限公司终止募集资金投资项目的问询函,SSE
43,603009.SSE,北特科技,问询函,2020-04-24 19:40:01,关于上海北特科技股份有限公司业绩预亏事项问询函,SSE
44,601717.SSE,郑煤机,定期报告事后审核意见函,2020-04-24 17:40:01,关于郑州煤矿机械集团股份有限公司的定期报告事后审核意见函,SSE
45,600458.SSE,时代新材,定期报告事后审核意见函,2020-04-24 17:20:01,关于株洲时代新材料科技股份有限公司2019年年度报告的信息披露监管问询函,SSE
